Country
Afghanistan 
Albania 
Algeria 
American Samoa 
Andorra 
Angola 
Anguilla 
Argentina 
Armenia 
Aruba 
Australia 
Austria 
Azerbaijan 
Bahamas
Bahrain 
Bangladesh 
Barbados 
Belarus 
Belgium 
Belize 
Benin 
Bermuda 
Bhutan 
Bolivia 
Bosnia and Herzegovina 
Botswana 
Brazil 
Bulgaria 
Burkina Faso 
Burundi 
Cambodia 
Cameroon 
Canada 
Cape Verde 
Cayman Islands 
Chad 
Chile 
China 
Colombia 
Comoros 
Cook Islands 
Costa Rica 
Croatia 
Cuba 
Cyprus 
Czech Republic 
Denmark 
Djibouti 
Dominica 
Dominican Republic 
Ecuador 
Egypt 
El Salvador 
Equatorial Guinea 
Eritrea 
Estonia 
Ethiopia 
Faroe Islands 
Fiji 
Finland 
France 
French Guiana 
French Polynesia 
Gabon 
Gambia
Georgia 
Germany 
Ghana 
Gibraltar 
Greece 
Greenland 
Grenada 
Guadeloupe 
Guam 
Guatemala 
Guernsey 
Guinea 
Guinea-Bissau 
Guyana 
Haiti 
Honduras 
Hong Kong 
Hungary 
Iceland 
India 
Indonesia 
Iran 
Iraq 
Ireland 
Isle of Man 
Israel 
Italy 
Jamaica 
Japan 
Jersey 
Jordan 
Kazakhstan 
Kenya 
Kiribati 
Korea Republic of
Kuwait 
Kyrgyzstan 
Latvia 
Lebanon 
Lesotho 
Liberia 
Liechtenstein 
Lithuania 
Luxembourg 
Macedonia 
Madagascar 
Malawi 
Malaysia 
Maldives 
Mali 
Malta 
Marshall Islands 
Martinique 
Mauritania 
Mauritius 
Mayotte 
Mexico 
Moldova 
Monaco 
Mongolia 
Montserrat 
Morocco 
Mozambique 
Namibia 
Nauru 
Nepal 
Netherlands 
Netherlands Antilles 
New Caledonia 
New Zealand 
Nicaragua 
Niger 
Nigeria 
Norway 
Oman 
Pakistan 
Palau 
Panama 
Papua New Guinea 
Paraguay 
Peru 
Philippines 
Poland 
Portugal 
Puerto Rico 
Qatar 
Reunion 
Romania 
Russian federation
Rwanda 
Saint Helena 
Saint Lucia 
Saint Vincent and the Grenadines 
Samoa 
San Marino 
Saudi Arabia 
Senegal 
Serbia 
Seychelles 
Sierra Leone 
Singapore 
Slovakia 
Slovenia 
Solomon Islands 
Somalia 
South Africa 
Spain 
Sri Lanka 
Sudan 
Suriname 
Swaziland 
Sweden 
Switzerland 
Taiwan province of china
Tajikistan 
Tanzania 
Thailand 
Togo 
Tonga 
Tunisia 
Turkey 
Turkmenistan 
Tuvalu 
Uganda 
Ukraine 
United Arab Emirates 
United Kingdom 
United States 
Uruguay 
Uzbekistan 
Vanuatu 
Venezuela 
Viet nam 
Virgin Islands british
Wallis and Futuna 
Western Sahara 
Yemen 
Zambia 
Zimbabwe 
